Definition,Proportion of the population with access to improved sanitation facility,,,,,,
Denominator,All dejure population (hv012),,,,,,
Numerator,"Number of dejure population (by residence) with access to improved sanitation facility: flush to piped sewer system, spetic tank, pit latrine or unknown destination; ventilated pit latrine, pit latrine with slab, composting toilet (hv205",,,,,,
,,,,,,,
Average,0.672972006,,Weighted national average=71.6,,,,StatCompiler=66.6
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
hv001,Relevantpop,improvedsanitation,,,,,
1661,21,17,0.80952381,,,,
1662,23,23,1,,,,
1663,15,14,0.933333333,,,,
1664,18,18,1,,,,
1665,19,19,1,,,,
1666,23,22,0.956521739,,,,
1667,16,16,1,,,,
1668,21,21,1,,,,
1669,20,20,1,,,,
1670,4,4,1,,,,
1671,22,18,0.818181818,,,,
1672,18,15,0.833333333,,,,
1673,22,22,1,,,,
1674,23,18,0.782608696,,,,
1675,18,18,1,,,,
1676,17,17,1,,,,
1677,18,18,1,,,,
1678,22,8,0.363636364,,,,
1679,20,20,1,,,,
1680,17,16,0.941176471,,,,
1681,21,21,1,,,,
1682,22,22,1,,,,
1683,20,19,0.95,,,,
1684,21,21,1,,,,
1685,19,16,0.842105263,,,,
1686,19,19,1,,,,
1687,23,23,1,,,,
1688,18,15,0.833333333,,,,
1689,23,14,0.608695652,,,,
1690,22,18,0.818181818,,,,
1691,20,19,0.95,,,,
1692,16,16,1,,,,
,37911,25311,0.672972006,,,,
