Definition,Percent distribution of live births and current pregnancies to women in the 3 years preceding the survey by planning status of the pregnancy and percent distribution of all pregnancy outcomes to women in the 3 years preceding the survey by planning status of the pregnancy,,,,,,
Numerator,Live births (m10) and current pregnancies (v225) in the three years preceding the survey according to planning status of the birth,,,,,,
Denominator,"Births in the three years preceding the survey, including current pregnancy (v213 = 1)",,,,,,
,,,,,,,
Average,0.386261466,,Weighted National Average=41.6,,,StatCompiler ,37.40%
,,,,,,,
v001,currentlypregw,unwantedpregnancy,,,,,
251,7,1,0.142857143,,,,
252,11,1,0.090909091,,,,
253,4,0,0,,,,
254,10,1,0.1,,,,
255,10,1,0.1,,,,
256,10,1,0.1,,,,
257,10,0,0,,,,
258,7,1,0.142857143,,,,
259,3,0,0,,,,
260,13,1,0.076923077,,,,
261,19,3,0.157894737,,,,
262,18,2,0.111111111,,,,
263,7,0,0,,,,
264,17,3,0.176470588,,,,
265,8,1,0.125,,,,
266,13,3,0.230769231,,,,
267,17,4,0.235294118,,,,
268,5,0,0,,,,
269,7,2,0.285714286,,,,
270,7,0,0,,,,
271,2,0,0,,,,
272,6,3,0.5,,,,
273,12,1,0.083333333,,,,
274,11,2,0.181818182,,,,
275,11,0,0,,,,
276,13,0,0,,,,
277,14,0,0,,,,
278,13,0,0,,,,
279,10,0,0,,,,
280,9,0,0,,,,
281,13,0,0,,,,
282,13,0,0,,,,
283,14,0,0,,,,
284,13,0,0,,,,
285,13,0,0,,,,
286,15,0,0,,,,
287,13,1,0.076923077,,,,
288,6,0,0,,,,
289,16,0,0,,,,
290,15,0,0,,,,
291,12,0,0,,,,
292,18,0,0,,,,
293,6,0,0,,,,
294,12,1,0.083333333,,,,
295,14,0,0,,,,
296,17,0,0,,,,
297,11,0,0,,,,
298,13,0,0,,,,
299,9,0,0,,,,
300,20,4,0.2,,,,
301,13,0,0,,,,
302,8,3,0.375,,,,
303,9,0,0,,,,
304,13,0,0,,,,
305,10,0,0,,,,
307,5,0,0,,,,
308,15,0,0,,,,
309,14,0,0,,,,
310,9,0,0,,,,
311,9,1,0.111111111,,,,
312,9,3,0.333333333,,,,
313,7,3,0.428571429,,,,
314,15,3,0.2,,,,
315,7,1,0.142857143,,,,
316,4,0,0,,,,
317,9,0,0,,,,
318,4,1,0.25,,,,
319,5,0,0,,,,
320,3,0,0,,,,
321,5,0,0,,,,
322,14,0,0,,,,
323,9,1,0.111111111,,,,
324,7,1,0.142857143,,,,
325,14,0,0,,,,
326,11,0,0,,,,
327,9,2,0.222222222,,,,
328,6,0,0,,,,
329,8,3,0.375,,,,
330,10,0,0,,,,
331,9,0,0,,,,
332,10,3,0.3,,,,
333,13,1,0.076923077,,,,
334,7,1,0.142857143,,,,
335,8,0,0,,,,
336,13,0,0,,,,
337,11,1,0.090909091,,,,
338,4,1,0.25,,,,
339,6,1,0.166666667,,,,
340,12,1,0.083333333,,,,
341,6,0,0,,,,
342,7,0,0,,,,
343,8,0,0,,,,
344,13,1,0.076923077,,,,
345,9,2,0.222222222,,,,
346,7,2,0.285714286,,,,
347,9,2,0.222222222,,,,
348,9,2,0.222222222,,,,
349,10,3,0.3,,,,
350,11,3,0.272727273,,,,
351,12,3,0.25,,,,
352,4,1,0.25,,,,
353,15,5,0.333333333,,,,
354,10,4,0.4,,,,
355,14,4,0.285714286,,,,
356,10,3,0.3,,,,
357,4,0,0,,,,
358,6,1,0.166666667,,,,
359,1,0,0,,,,
360,7,2,0.285714286,,,,
361,3,1,0.333333333,,,,
362,9,3,0.333333333,,,,
363,7,3,0.428571429,,,,
364,2,0,0,,,,
