Definition: ,Percentage of youngest children under six months of age living with the mother who are exclusively breastfed,,,,,,
Denominator,Children under age 6 months,,,,,,
,,,,,,,
Average:,0.56420765,,National Weighted Average,,58.7,Statcompiler,59.9
,,,,,,,
,,,,,,,
v001,youngestchildwithmum,exclusivelybreastfed,,,,,
570,1,1,1,,,,
571,0,0,.,,,,
572,0,0,.,,,,
573,1,1,1,,,,
574,0,0,.,,,,
575,0,0,.,,,,
576,0,0,.,,,,
577,0,0,.,,,,
578,0,0,.,,,,
579,0,0,.,,,,
580,1,0,0,,,,
581,1,1,1,,,,
582,0,0,.,,,,
583,1,0,0,,,,
584,0,0,.,,,,
585,0,0,.,,,,
586,0,0,.,,,,
587,1,1,1,,,,
588,1,1,1,,,,
589,1,1,1,,,,
590,0,0,.,,,,
591,1,1,1,,,,
592,1,0,0,,,,
593,1,1,1,,,,
594,0,0,.,,,,
595,0,0,.,,,,
596,0,0,.,,,,
597,0,0,.,,,,
598,0,1,.,,,,
599,0,0,.,,,,
600,0,0,.,,,,
601,0,0,.,,,,
602,2,2,1,,,,
603,0,0,.,,,,
604,0,0,.,,,,
605,1,1,1,,,,
606,1,1,1,,,,
607,1,0,0,,,,
608,0,0,.,,,,
609,0,0,.,,,,
610,0,0,.,,,,
611,0,0,.,,,,
612,0,0,.,,,,
613,1,0,0,,,,
614,0,0,.,,,,
615,1,1,1,,,,
616,0,0,.,,,,
617,0,0,.,,,,
618,1,1,1,,,,
619,1,1,1,,,,
620,0,0,.,,,,
621,0,0,.,,,,
622,0,0,.,,,,
623,1,0,0,,,,
624,0,0,.,,,,
625,1,0,0,,,,
626,0,0,.,,,,
627,0,0,.,,,,
628,0,0,.,,,,
629,1,0,0,,,,
630,0,0,.,,,,
631,0,0,.,,,,
632,0,0,.,,,,
633,1,1,1,,,,
634,0,0,.,,,,
635,1,1,1,,,,
636,0,0,.,,,,
637,0,0,.,,,,
638,0,0,.,,,,
639,0,0,.,,,,
640,0,0,.,,,,
641,1,1,1,,,,
642,0,0,.,,,,
643,0,0,.,,,,
644,1,1,1,,,,
645,0,0,.,,,,
646,0,0,.,,,,
647,0,0,.,,,,
648,3,2,0.666666667,,,,
649,0,0,.,,,,
650,0,0,.,,,,
651,0,0,.,,,,
652,1,1,1,,,,
653,0,0,.,,,,
654,0,0,.,,,,
655,0,0,.,,,,
656,0,0,.,,,,
657,4,4,1,,,,
658,0,0,.,,,,
659,0,0,.,,,,
660,0,0,.,,,,
661,1,1,1,,,,
662,0,0,.,,,,
663,0,0,.,,,,
664,1,1,1,,,,
665,1,0,0,,,,
666,0,0,.,,,,
667,0,0,.,,,,
668,1,0,0,,,,
669,1,0,0,,,,
670,1,1,1,,,,
671,0,0,.,,,,
672,0,0,.,,,,
673,0,0,.,,,,
674,0,0,.,,,,
675,0,0,.,,,,
676,0,0,.,,,,
677,0,0,.,,,,
678,1,1,1,,,,
679,0,0,.,,,,
680,1,1,1,,,,
681,0,0,.,,,,
682,1,1,1,,,,
683,1,1,1,,,,
684,0,0,.,,,,
685,0,0,.,,,,
686,0,0,.,,,,
687,0,0,.,,,,
688,0,0,.,,,,
689,3,1,0.333333333,,,,
690,0,0,.,,,,
691,2,0,0,,,,
692,0,0,.,,,,
693,0,0,.,,,,
694,2,2,1,,,,
695,1,1,1,,,,
696,0,0,.,,,,
697,0,0,.,,,,
698,1,1,1,,,,
699,1,1,1,,,,
700,1,1,1,,,,
701,0,0,.,,,,
702,1,1,1,,,,
703,2,1,0.5,,,,
704,2,2,1,,,,
705,1,1,1,,,,
706,0,0,.,,,,
707,0,0,.,,,,
708,0,0,.,,,,
709,0,0,.,,,,
710,1,1,1,,,,
711,1,0,0,,,,
712,1,0,0,,,,
713,0,0,.,,,,
714,0,0,.,,,,
715,1,0,0,,,,
716,0,0,.,,,,
717,1,1,1,,,,
718,1,1,1,,,,
719,0,0,.,,,,
720,0,0,.,,,,
721,2,1,0.5,,,,
722,0,0,.,,,,
