hv001,Relevantpop,improvedwater,
380,20,19,0.95
381,22,19,0.863636364
382,24,14,0.583333333
383,24,24,1
384,24,18,0.75
385,21,5,0.238095238
386,22,20,0.909090909
387,16,9,0.5625
388,22,15,0.681818182
389,24,21,0.875
390,21,15,0.714285714
391,19,9,0.473684211
392,19,13,0.684210526
393,24,20,0.833333333
394,23,23,1
395,19,19,1
396,23,21,0.913043478
397,19,19,1
398,23,21,0.913043478
399,24,23,0.958333333
400,20,20,1
401,22,19,0.863636364
402,25,25,1
403,25,22,0.88
404,19,19,1
405,25,25,1
406,25,23,0.92
407,25,19,0.76
408,23,23,1
409,22,12,0.545454545
410,24,19,0.791666667
411,22,19,0.863636364
412,23,22,0.956521739
413,24,22,0.916666667
414,25,12,0.48
415,24,23,0.958333333
416,25,10,0.4
417,22,18,0.818181818
418,25,21,0.84
419,24,24,1
420,20,20,1
421,25,23,0.92
422,24,24,1
423,25,25,1
424,24,22,0.916666667
425,24,18,0.75
426,22,22,1
427,25,25,1
428,25,24,0.96
429,24,2,0.083333333
430,18,16,0.888888889
431,18,17,0.944444444
432,24,24,1
433,19,19,1
434,23,23,1
435,21,21,1
436,24,20,0.833333333
437,23,17,0.739130435
438,25,24,0.96
439,22,0,0
440,20,0,0
441,23,15,0.652173913
442,20,1,0.05
443,17,15,0.882352941
444,21,21,1
445,25,4,0.16
446,25,0,0
447,24,21,0.875
448,21,21,1
449,24,24,1
450,23,23,1
451,23,16,0.695652174
452,20,17,0.85
453,19,18,0.947368421
454,23,12,0.52173913
455,24,23,0.958333333
456,24,21,0.875
457,24,17,0.708333333
458,24,24,1
459,20,20,1
460,18,18,1
461,25,25,1
462,21,21,1
463,24,24,1
464,22,22,1
465,23,23,1
466,23,9,0.391304348
467,22,22,1
468,23,23,1
469,20,20,1
470,25,21,0.84
471,22,20,0.909090909
472,25,20,0.8
473,24,24,1
474,25,24,0.96
475,24,20,0.833333333
476,23,19,0.826086957
477,25,19,0.76
478,25,21,0.84
479,25,6,0.24
480,23,16,0.695652174
481,25,20,0.8
482,22,18,0.818181818
483,23,7,0.304347826
484,23,3,0.130434783
485,25,2,0.08
486,25,19,0.76
487,23,0,0
488,24,17,0.708333333
489,17,17,1
490,24,24,1
491,19,19,1
492,22,21,0.954545455
493,21,4,0.19047619
494,19,17,0.894736842
495,22,18,0.818181818
496,25,8,0.32
497,25,6,0.24
498,24,7,0.291666667
499,8,6,0.75
500,24,0,0
501,22,19,0.863636364
502,23,21,0.913043478
503,22,3,0.136363636
504,24,1,0.041666667
505,25,10,0.4
506,24,10,0.416666667
507,23,3,0.130434783
508,24,4,0.166666667
509,22,7,0.318181818
510,17,15,0.882352941
511,25,25,1
512,23,20,0.869565217
513,23,3,0.130434783
514,24,17,0.708333333
515,25,2,0.08
516,24,21,0.875
517,22,1,0.045454545
518,25,14,0.56
519,22,22,1
520,21,20,0.952380952
521,19,19,1
522,24,24,1
523,23,23,1
524,24,24,1
525,17,17,1
526,13,13,1
527,23,23,1
528,22,22,1
529,23,23,1
530,22,22,1
531,23,23,1
532,18,18,1
533,22,21,0.954545455
534,24,22,0.916666667
535,24,21,0.875
536,25,18,0.72
537,23,17,0.739130435
538,20,19,0.95
539,21,21,1
540,20,20,1
541,22,10,0.454545455
542,23,20,0.869565217
543,25,18,0.72
544,25,10,0.4
545,22,14,0.636363636
546,24,12,0.5
547,23,20,0.869565217
548,21,21,1
549,24,22,0.916666667
550,21,21,1
551,24,24,1
552,24,17,0.708333333
553,24,14,0.583333333
554,23,21,0.913043478
555,22,5,0.227272727
556,24,11,0.458333333
557,23,2,0.086956522
558,18,15,0.833333333
559,24,16,0.666666667
560,19,18,0.947368421
561,25,25,1
562,24,0,0
563,23,22,0.956521739
564,25,25,1
565,23,23,1
566,25,19,0.76
567,22,22,1
568,22,9,0.409090909
569,25,25,1
570,24,23,0.958333333
571,23,23,1
572,24,24,1
573,24,11,0.458333333
574,23,15,0.652173913
575,20,6,0.3
576,23,8,0.347826087
577,17,14,0.823529412
578,23,23,1
579,23,21,0.913043478
580,24,8,0.333333333
581,24,3,0.125
582,22,13,0.590909091
583,23,7,0.304347826
584,25,6,0.24
585,19,6,0.315789474
586,24,13,0.541666667
587,25,25,1
588,23,22,0.956521739
589,25,11,0.44
590,24,20,0.833333333
591,24,22,0.916666667
592,23,7,0.304347826
593,23,23,1
594,23,23,1
595,17,17,1
596,23,22,0.956521739
597,23,22,0.956521739
598,25,25,1
599,21,20,0.952380952
600,23,23,1
601,23,23,1
602,22,21,0.954545455
603,23,23,1
604,25,21,0.84
605,24,23,0.958333333
606,25,23,0.92
607,21,20,0.952380952
608,24,22,0.916666667
609,24,23,0.958333333
610,26,23,0.884615385
611,19,17,0.894736842
