hv001,primaryage,NARPrimary,
769,6,5,0.833333333
770,16,16,1
771,9,8,0.888888889
772,5,4,0.8
773,9,8,0.888888889
774,10,9,0.9
775,17,16,0.941176471
776,9,8,0.888888889
777,5,5,1
778,39,6,0.153846154
779,41,2,0.048780488
780,54,4,0.074074074
781,39,22,0.564102564
782,29,4,0.137931034
783,22,21,0.954545455
784,24,19,0.791666667
785,10,6,0.6
786,9,8,0.888888889
787,29,21,0.724137931
788,23,20,0.869565217
789,26,21,0.807692308
790,21,18,0.857142857
791,35,19,0.542857143
792,24,17,0.708333333
793,36,15,0.416666667
794,34,7,0.205882353
795,26,23,0.884615385
796,7,6,0.857142857
797,22,6,0.272727273
798,36,5,0.138888889
799,34,11,0.323529412
800,25,22,0.88
801,38,20,0.526315789
802,39,15,0.384615385
803,5,0,0
804,22,18,0.818181818
805,28,12,0.428571429
806,12,9,0.75
807,21,12,0.571428571
808,32,1,0.03125
809,21,11,0.523809524
810,25,3,0.12
811,38,15,0.394736842
812,25,0,0
813,9,7,0.777777778
814,47,37,0.787234043
815,48,38,0.791666667
816,42,29,0.69047619
817,29,23,0.793103448
818,59,49,0.830508475
819,34,30,0.882352941
820,36,14,0.388888889
821,29,25,0.862068966
822,48,38,0.791666667
823,45,32,0.711111111
824,34,13,0.382352941
825,40,3,0.075
826,35,11,0.314285714
827,37,9,0.243243243
828,31,19,0.612903226
829,40,20,0.5
830,35,28,0.8
831,60,50,0.833333333
832,43,30,0.697674419
833,47,35,0.744680851
834,30,3,0.1
835,28,24,0.857142857
836,11,9,0.818181818
837,26,23,0.884615385
838,9,9,1
839,11,9,0.818181818
840,36,31,0.861111111
841,29,20,0.689655172
842,13,11,0.846153846
843,16,10,0.625
844,19,16,0.842105263
845,15,14,0.933333333
846,22,17,0.772727273
847,26,12,0.461538462
848,9,7,0.777777778
849,9,9,1
850,4,3,0.75
851,7,6,0.857142857
852,9,7,0.777777778
853,45,27,0.6
854,10,9,0.9
855,15,15,1
856,16,16,1
857,29,10,0.344827586
858,48,31,0.645833333
859,33,12,0.363636364
860,12,12,1
861,30,20,0.666666667
862,34,1,0.029411765
863,14,12,0.857142857
864,40,10,0.25
865,36,26,0.722222222
866,50,41,0.82
867,14,5,0.357142857
868,25,1,0.04
869,37,11,0.297297297
870,9,2,0.222222222
871,30,20,0.666666667
872,10,9,0.9
873,20,18,0.9
874,22,6,0.272727273
875,41,27,0.658536585
876,32,8,0.25
877,28,13,0.464285714
878,31,3,0.096774194
879,45,30,0.666666667
880,28,24,0.857142857
881,31,28,0.903225806
882,29,27,0.931034483
883,11,10,0.909090909
884,11,10,0.909090909
885,8,8,1
886,5,5,1
887,21,17,0.80952381
888,26,21,0.807692308
889,33,28,0.848484848
890,33,28,0.848484848
891,22,18,0.818181818
892,21,19,0.904761905
893,30,29,0.966666667
894,33,31,0.939393939
895,30,26,0.866666667
896,33,31,0.939393939
897,35,30,0.857142857
898,39,28,0.717948718
899,23,18,0.782608696
900,12,10,0.833333333
901,22,18,0.818181818
902,30,24,0.8
903,28,22,0.785714286
904,27,24,0.888888889
905,4,4,1
906,13,12,0.923076923
907,18,15,0.833333333
908,19,15,0.789473684
909,15,13,0.866666667
910,12,10,0.833333333
911,33,31,0.939393939
912,29,28,0.965517241
913,30,27,0.9
914,23,19,0.826086957
915,6,3,0.5
916,15,14,0.933333333
917,1,1,1
918,11,11,1
919,14,13,0.928571429
