hv001,Primaryage,NARPrimary,
365,51,27,0.529411765
366,24,18,0.75
367,34,29,0.852941176
368,17,16,0.941176471
369,19,15,0.789473684
370,18,13,0.722222222
371,28,22,0.785714286
372,15,13,0.866666667
373,18,16,0.888888889
374,24,18,0.75
375,18,12,0.666666667
376,19,18,0.947368421
377,21,20,0.952380952
378,13,11,0.846153846
379,10,9,0.9
380,17,16,0.941176471
381,16,13,0.8125
382,20,20,1
383,20,19,0.95
384,9,9,1
385,10,9,0.9
386,10,8,0.8
387,17,15,0.882352941
388,12,10,0.833333333
389,25,22,0.88
390,26,25,0.961538462
391,31,28,0.903225806
392,4,3,0.75
393,33,29,0.878787879
394,41,22,0.536585366
395,18,13,0.722222222
396,27,23,0.851851852
397,38,31,0.815789474
398,23,19,0.826086957
399,24,23,0.958333333
400,12,10,0.833333333
401,7,7,1
402,12,8,0.666666667
403,10,10,1
404,13,12,0.923076923
405,8,8,1
406,18,18,1
407,8,7,0.875
408,13,12,0.923076923
409,25,21,0.84
410,8,5,0.625
411,23,23,1
412,14,14,1
413,15,14,0.933333333
414,16,14,0.875
415,11,10,0.909090909
416,31,28,0.903225806
417,23,23,1
418,26,25,0.961538462
419,18,17,0.944444444
420,28,27,0.964285714
421,16,14,0.875
422,9,8,0.888888889
424,22,22,1
425,21,20,0.952380952
426,3,3,1
427,10,10,1
428,19,15,0.789473684
429,11,11,1
430,40,35,0.875
431,29,27,0.931034483
432,20,18,0.9
433,13,11,0.846153846
434,45,41,0.911111111
435,23,18,0.782608696
436,35,32,0.914285714
437,34,31,0.911764706
438,20,9,0.45
439,18,6,0.333333333
440,11,6,0.545454545
441,31,12,0.387096774
442,23,1,0.043478261
443,28,20,0.714285714
444,17,8,0.470588235
445,20,5,0.25
446,39,15,0.384615385
447,32,17,0.53125
448,30,27,0.9
449,16,6,0.375
450,30,13,0.433333333
451,33,21,0.636363636
452,24,10,0.416666667
453,29,21,0.724137931
454,42,29,0.69047619
455,58,45,0.775862069
456,12,11,0.916666667
457,36,30,0.833333333
458,36,27,0.75
459,28,21,0.75
460,33,22,0.666666667
461,31,26,0.838709677
462,32,23,0.71875
463,11,10,0.909090909
464,19,16,0.842105263
465,27,21,0.777777778
466,7,7,1
467,5,5,1
468,19,18,0.947368421
469,17,13,0.764705882
470,34,30,0.882352941
471,26,22,0.846153846
472,32,18,0.5625
473,32,29,0.90625
474,14,14,1
475,18,17,0.944444444
476,40,34,0.85
477,51,13,0.254901961
478,55,40,0.727272727
479,39,12,0.307692308
480,54,18,0.333333333
481,24,18,0.75
482,30,24,0.8
483,37,27,0.72972973
484,31,21,0.677419355
485,30,15,0.5
486,39,28,0.717948718
487,38,24,0.631578947
489,34,32,0.941176471
490,31,27,0.870967742
491,23,15,0.652173913
492,30,21,0.7
493,39,28,0.717948718
494,39,37,0.948717949
495,14,14,1
496,9,9,1
497,8,8,1
498,21,20,0.952380952
499,6,6,1
500,9,9,1
501,12,10,0.833333333
502,11,9,0.818181818
503,14,13,0.928571429
504,20,19,0.95
505,6,6,1
506,8,6,0.75
507,10,10,1
508,12,12,1
509,14,14,1
510,6,6,1
511,7,7,1
512,12,12,1
513,22,21,0.954545455
514,22,21,0.954545455
515,18,17,0.944444444
516,33,27,0.818181818
517,32,28,0.875
518,28,25,0.892857143
519,15,12,0.8
520,8,7,0.875
521,27,22,0.814814815
522,13,13,1
523,32,30,0.9375
524,31,26,0.838709677
