v001,childage6to23,mimimumacceptablediet,
1413,1,0,0
1414,1,0,0
1415,3,1,0.333333333
1416,1,0,0
1417,1,0,0
1418,1,0,0
1419,2,0,0
1421,2,1,0.5
1422,2,0,0
1423,3,1,0.333333333
1424,3,1,0.333333333
1425,3,0,0
1426,1,1,1
1427,4,1,0.25
1428,5,1,0.2
1429,2,1,0.5
1430,2,0,0
1431,2,0,0
1432,2,1,0.5
1433,3,0,0
1434,2,1,0.5
1435,2,2,1
1436,1,0,0
1437,1,1,1
1438,3,1,0.333333333
1439,1,0,0
1440,4,0,0
1441,1,0,0
1442,2,0,0
1443,1,0,0
1444,2,1,0.5
1445,2,0,0
1446,1,0,0
1447,1,0,0
1448,3,1,0.333333333
1449,1,0,0
1450,3,2,0.666666667
1453,3,2,0.666666667
1455,1,0,0
1456,5,1,0.2
1457,4,1,0.25
1458,2,2,1
1460,2,0,0
1461,5,0,0
1463,1,0,0
1465,1,1,1
1466,5,0,0
1467,2,0,0
1468,4,1,0.25
1469,2,2,1
1470,2,1,0.5
1471,2,1,0.5
1472,5,1,0.2
1473,3,2,0.666666667
1474,3,0,0
1475,1,0,0
1476,1,0,0
1477,2,0,0
1479,2,1,0.5
1480,3,0,0
1481,1,0,0
1482,1,0,0
1483,2,0,0
1484,2,0,0
1485,2,0,0
1486,3,0,0
1487,2,0,0
1488,3,0,0
1490,2,0,0
1491,1,0,0
1493,2,0,0
1494,1,1,1
1495,2,0,0
1496,2,1,0.5
1497,2,0,0
1498,2,0,0
1499,1,0,0
1500,2,0,0
1501,1,0,0
1502,3,0,0
1503,2,0,0
1505,3,0,0
1506,2,0,0
1507,1,1,1
1508,3,0,0
1509,1,0,0
1510,3,0,0
1511,1,0,0
1512,1,0,0
1513,1,0,0
1516,1,0,0
1517,2,0,0
1518,1,0,0
1519,2,0,0
1520,2,0,0
1522,1,0,0
1523,1,0,0
1524,2,0,0
1525,1,0,0
1526,1,0,0
1527,2,1,0.5
1528,2,1,0.5
1529,1,0,0
1530,1,1,1
1531,1,0,0
1532,1,0,0
1533,2,0,0
1534,2,0,0
1535,1,0,0
1536,4,1,0.25
1537,3,0,0
1538,2,0,0
1540,1,0,0
1541,4,0,0
1542,2,0,0
1543,2,0,0
1545,3,0,0
1546,2,0,0
1547,4,0,0
1548,1,0,0
1549,2,0,0
1550,2,0,0
1551,2,1,0.5
1553,7,1,0.142857143
1554,3,0,0
1555,3,1,0.333333333
1556,1,0,0
1557,4,1,0.25
1559,3,2,0.666666667
1560,1,0,0
1561,1,0,0
1562,2,1,0.5
1563,1,0,0
1565,3,0,0
1567,2,0,0
1568,5,1,0.2
1569,4,0,0
1570,1,0,0
1571,2,0,0
1572,3,0,0
1573,4,0,0
1574,3,2,0.666666667
1575,3,0,0
1577,1,0,0
1578,4,1,0.25
1579,4,0,0
1581,1,0,0
1582,3,1,0.333333333
1583,4,0,0
1584,2,0,0
1586,1,0,0
1587,3,0,0
1588,2,0,0
1589,1,0,0
1590,2,0,0
