v001,currentlymarried,fp_cruse_mod,
611,9,6,0.666666667
612,14,9,0.642857143
613,7,5,0.714285714
614,20,11,0.55
615,12,2,0.166666667
616,20,4,0.2
617,14,4,0.285714286
618,8,6,0.75
619,9,6,0.666666667
620,17,11,0.647058824
621,15,7,0.466666667
622,9,7,0.777777778
623,15,10,0.666666667
624,12,5,0.416666667
625,15,5,0.333333333
626,9,5,0.555555556
627,17,5,0.294117647
628,12,6,0.5
629,13,8,0.615384615
630,6,2,0.333333333
631,9,6,0.666666667
632,9,5,0.555555556
633,8,6,0.75
634,12,7,0.583333333
635,14,8,0.571428571
636,15,7,0.466666667
637,14,10,0.714285714
638,15,12,0.8
639,10,6,0.6
640,9,3,0.333333333
641,4,2,0.5
642,17,13,0.764705882
643,13,10,0.769230769
644,15,12,0.8
645,18,11,0.611111111
646,21,17,0.80952381
647,12,10,0.833333333
648,12,7,0.583333333
649,10,7,0.7
650,12,8,0.666666667
651,13,6,0.461538462
652,9,6,0.666666667
653,18,10,0.555555556
654,14,7,0.5
655,14,11,0.785714286
656,14,12,0.857142857
657,14,7,0.5
658,14,9,0.642857143
659,10,7,0.7
660,11,8,0.727272727
661,13,12,0.923076923
662,20,15,0.75
663,9,9,1
664,13,9,0.692307692
665,16,12,0.75
666,9,7,0.777777778
667,10,5,0.5
668,15,7,0.466666667
669,14,8,0.571428571
670,9,3,0.333333333
671,10,5,0.5
672,8,7,0.875
673,18,12,0.666666667
674,13,9,0.692307692
675,13,11,0.846153846
676,19,15,0.789473684
677,16,11,0.6875
678,19,12,0.631578947
679,16,9,0.5625
680,11,9,0.818181818
681,16,12,0.75
682,20,17,0.85
683,9,7,0.777777778
684,12,7,0.583333333
685,17,8,0.470588235
686,12,7,0.583333333
687,8,5,0.625
688,12,10,0.833333333
689,11,6,0.545454545
690,10,6,0.6
691,17,8,0.470588235
692,12,5,0.416666667
693,17,13,0.764705882
694,16,6,0.375
695,5,4,0.8
696,13,9,0.692307692
697,17,11,0.647058824
698,8,6,0.75
699,9,6,0.666666667
700,13,7,0.538461538
701,10,4,0.4
702,18,5,0.277777778
703,12,2,0.166666667
704,14,1,0.071428571
705,11,0,0
706,13,2,0.153846154
707,15,0,0
708,16,1,0.0625
709,13,0,0
710,14,0,0
712,10,0,0
713,11,0,0
714,10,0,0
715,14,0,0
716,11,0,0
717,14,0,0
718,15,0,0
719,14,0,0
720,14,0,0
721,9,1,0.111111111
722,15,0,0
724,17,1,0.058823529
726,10,0,0
727,12,0,0
728,11,0,0
729,16,0,0
730,6,2,0.333333333
731,12,0,0
732,13,0,0
733,6,0,0
734,20,0,0
735,15,1,0.066666667
736,13,0,0
737,14,1,0.071428571
738,16,1,0.0625
739,14,1,0.071428571
741,9,0,0
742,9,0,0
743,10,0,0
744,14,0,0
745,16,0,0
746,9,1,0.111111111
747,11,0,0
748,10,0,0
749,8,1,0.125
750,14,3,0.214285714
751,15,1,0.066666667
752,14,1,0.071428571
753,16,1,0.0625
754,13,1,0.076923077
755,20,0,0
756,11,1,0.090909091
757,16,0,0
760,7,0,0
761,16,0,0
762,13,0,0
764,15,1,0.066666667
766,11,0,0
768,9,0,0
769,11,0,0
770,11,0,0
771,13,0,0
772,12,0,0
773,8,0,0
774,13,0,0
775,14,2,0.142857143
776,15,1,0.066666667
777,3,1,0.333333333
778,7,0,0
779,12,0,0
780,2,0,0
781,16,0,0
782,3,0,0
783,13,0,0
784,16,0,0
785,14,0,0
786,3,0,0
787,6,0,0
788,11,1,0.090909091
789,11,0,0
790,15,0,0
791,13,2,0.153846154
792,23,1,0.043478261
793,16,1,0.0625
794,14,0,0
795,11,0,0
796,13,0,0
797,16,0,0
798,11,0,0
799,18,0,0
801,13,0,0
802,10,5,0.5
803,9,5,0.555555556
804,13,8,0.615384615
805,11,6,0.545454545
806,10,5,0.5
807,6,2,0.333333333
808,13,6,0.461538462
809,14,10,0.714285714
810,11,6,0.545454545
811,9,6,0.666666667
812,10,7,0.7
813,11,7,0.636363636
814,11,5,0.454545455
815,11,3,0.272727273
816,15,5,0.333333333
817,13,8,0.615384615
818,9,3,0.333333333
819,9,5,0.555555556
820,15,6,0.4
821,10,4,0.4
822,14,10,0.714285714
823,11,4,0.363636364
824,11,8,0.727272727
825,12,6,0.5
826,12,6,0.5
827,10,5,0.5
828,8,4,0.5
829,8,6,0.75
830,13,4,0.307692308
831,8,4,0.5
832,9,4,0.444444444
833,17,7,0.411764706
834,12,6,0.5
835,7,5,0.714285714
836,13,7,0.538461538
837,13,8,0.615384615
838,12,8,0.666666667
839,14,7,0.5
840,15,8,0.533333333
841,11,7,0.636363636
842,11,9,0.818181818
843,18,13,0.722222222
844,11,7,0.636363636
845,8,4,0.5
846,10,5,0.5
847,8,5,0.625
848,13,10,0.769230769
849,10,6,0.6
850,12,6,0.5
851,12,6,0.5
852,18,13,0.722222222
853,16,8,0.5
854,8,5,0.625
855,15,10,0.666666667
856,16,7,0.4375
857,6,2,0.333333333
858,12,7,0.583333333
859,22,11,0.5
860,16,12,0.75
861,11,8,0.727272727
862,11,7,0.636363636
863,11,8,0.727272727
864,12,5,0.416666667
865,15,7,0.466666667
866,8,4,0.5
867,9,5,0.555555556
868,12,6,0.5
869,16,2,0.125
870,11,6,0.545454545
871,13,5,0.384615385
872,15,2,0.133333333
873,13,6,0.461538462
874,13,8,0.615384615
875,11,6,0.545454545
876,11,1,0.090909091
877,21,14,0.666666667
878,18,8,0.444444444
879,17,8,0.470588235
880,15,5,0.333333333
881,16,8,0.5
882,11,5,0.454545455
883,13,8,0.615384615
884,11,6,0.545454545
885,14,10,0.714285714
886,11,7,0.636363636
887,11,6,0.545454545
888,14,10,0.714285714
889,13,4,0.307692308
890,12,5,0.416666667
891,16,8,0.5
892,21,7,0.333333333
893,12,8,0.666666667
894,14,5,0.357142857
895,9,4,0.444444444
896,19,9,0.473684211
897,14,7,0.5
898,14,7,0.5
899,21,8,0.380952381
900,14,8,0.571428571
901,19,9,0.473684211
902,19,3,0.157894737
903,20,11,0.55
904,11,4,0.363636364
905,14,6,0.428571429
906,9,5,0.555555556
907,17,8,0.470588235
908,16,7,0.4375
909,11,7,0.636363636
910,15,7,0.466666667
