DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,built_volume,distance_coastline,distance_conflict,distance_cultivated,distance_protected,distance_roads,distance_water,elevation,nighttime_lights,precipitation,slope,temperature,travel_time_health,travel_time_urban,traveltime_urban,water_dist
KE201400000850,KE,2014,850,KE,NULL,NULL,NULL,NULL,82,Kisumu,8,Nyanza,CEN,R,-0.164401,34.826028,9999,1145,WGS84,1079.1448070877725,661.338296474645,8.460592096405495,-0.17423121952305878,540.5349450480651,0.13137183112055797,0.7551314012236298,1142.8652653854324,0.028033739780897092,0.002763527977397013,0.2063151706682476,289.15676468114333,3.0466517831644215,8.113401738021656,8.113401738021656,0.7551314012236298
KE201400000851,KE,2014,851,KE,NULL,NULL,NULL,NULL,82,Kisumu,8,Nyanza,CEN,R,-0.009652,34.641158,9999,1508,WGS84,1131.9909061647074,687.3598128653421,4.365131057030301,-3.739236306280662,566.6278341247041,0.12960921637511785,0.9104282361487978,1502.9016589608839,0.05334673604417256,0.00542958963818268,5.85082973345973,288.9774838969211,2.191988658398417,15.81042498138762,15.81042498138762,0.9104282361487978
KE201400000852,KE,2014,852,KE,NULL,NULL,NULL,NULL,82,Kisumu,8,Nyanza,CEN,R,-0.133366,34.617015,9999,1296,WGS84,442.24350467786064,683.8067606990916,13.376691490663154,-0.41854125454728375,557.3768615304134,0.9239862912258264,0.825867661640875,1174.464124739691,0.010946512785699091,0.0039462827693503245,1.6097064782870234,290.1413853940144,12.180772296208382,26.7655598644149,26.7655598644149,0.825867661640875
KE201400000853,KE,2014,853,KE,NULL,NULL,NULL,NULL,82,Kisumu,8,Nyanza,CEN,R,-0.043547,34.640593,9999,1354,WGS84,789.7953281149126,685.7551857747159,5.967731423255198,-4.719739549356271,563.6653424004362,0.11284730217185077,0.6607236950988462,1369.763362386604,0.04677848792212998,0.004836295625424972,4.885509158229892,289.3440754436897,2.403223898332973,12.124044846057904,12.124044846057904,0.6607236950988462
KE201400000854,KE,2014,854,KE,NULL,NULL,NULL,NULL,82,Kisumu,8,Nyanza,CEN,R,-0.074951,34.498248,9999,1355,WGS84,570.8446485045562,698.5215782897919,15.147500224553758,-6.299241357111729,570.6825928431283,0.11460788198846131,1.7412489842362862,1283.1870823035765,0.00728565756412678,0.004177979395318337,3.9348210734009132,290.212953884237,1.948713045330639,32.52927827699937,32.52927827699937,1.7412489842362862
KE201400000855,KE,2014,855,KE,NULL,NULL,NULL,NULL,82,Kisumu,8,Nyanza,CEN,R,-0.13303,34.47001,9999,1275,WGS84,602.8114151508752,698.6516708038268,21.468696557561067,-1.87972637319791,567.6574087730651,0.17075184411902303,1.3849266430881622,1194.5486059227248,0,0.0036935570155571893,2.591937815156036,290.42202507152933,4.569134232433655,40.75922860821263,40.75922860821263,1.3849266430881622
KE201400000856,KE,2014,856,KE,NULL,NULL,NULL,NULL,82,Kisumu,8,Nyanza,CEN,R,-0.11811,34.523154,9999,1173,WGS84,609.0538526223255,693.9804761200041,16.251298362815,-3.454827512025767,565.2082820800014,0.13372333389635216,2.3916007397551535,1209.3498963403667,0.007285648559752762,0.003890656250068313,2.9212102454689988,290.32286799816825,3.2325648959307656,30.65054164573939,30.65054164573939,2.3916007397551535
KE201400000857,KE,2014,857,KE,NULL,NULL,NULL,NULL,82,Kisumu,8,Nyanza,CEN,R,-0.138341,34.986444,9999,1170,WGS84,572.7455257072861,646.6129399870197,10.09059651069886,-2.263811912456812,532.4998054238458,0.15021995072548333,0.905351283761419,1170.9187569210585,0.0013092941144007113,0.0027257156445052266,0.371497291313373,287.6498769360865,4.4821712742397315,24.912891674650123,24.912891674650123,0.905351283761419
KE201400000858,KE,2014,858,KE,NULL,NULL,NULL,NULL,82,Kisumu,8,Nyanza,CEN,R,-0.1185,35.016995,9999,1177,WGS84,536.7468068157195,644.5763410309628,8.133830756126459,-3.5867373314828583,532.39068220071,0.14110251860326564,1.0741615035990981,1182.1138299817208,0,0.0027429673338833305,0.49185753105352187,287.5233210705886,4.159750351664754,30.154438123761913,30.154438123761913,1.0741615035990981
KE201400000859,KE,2014,859,KE,NULL,NULL,NULL,NULL,82,Kisumu,8,Nyanza,CEN,R,-0.132399,34.926823,9999,1157,WGS84,837.7784367500855,652.8384488072678,15.575503048812742,-1.4564606827326583,536.8464066844059,0.18955285482631098,0.5660969267089828,1158.9675973521373,0.07651994691013311,0.0024517143431725583,0.2360273734314455,288.26652510937294,4.282198978891232,20.08267547287509,20.08267547287509,0.5660969267089828
